Longitude,Latitude,Date,CMAQ_O3
-110.4983,48.34602,2005-05-22,44.4568
-110.52217,48.45187,2005-05-22,44.0939
-110.54613,48.55768,2005-05-22,44.0437
-110.57018,48.66345,2005-05-22,44.0505
-110.59431,48.76918,2005-05-22,43.7844
-110.61853,48.87487,2005-05-22,43.7441
-110.64283,48.98052,2005-05-22,43.6907
-110.66721,49.08613,2005-05-22,43.2279
-110.69169,49.1917,2005-05-22,43.1004
-110.71626,49.29722,2005-05-22,43.1135
-110.74091,49.40271,2005-05-22,42.7289
-110.76564,49.50814,2005-05-22,42.5415
-110.79047,49.61354,2005-05-22,42.581
-110.81538,49.71889,2005-05-22,42.4479
-110.84039,49.82421,2005-05-22,42.3899
-110.86548,49.92947,2005-05-22,42.2477
-110.89066,50.03469,2005-05-22,42.3674
-110.91594,50.13987,2005-05-22,42.383
-110.94131,50.245,2005-05-22,42.3703
-110.96677,50.35008,2005-05-22,42.8739
-110.99232,50.45511,2005-05-22,43.1087
-111.01796,50.5601,2005-05-22,43.1508
-106.62511,25.06369,2005-05-22,42.8116
-106.63744,25.1686,2005-05-22,43.5456
-106.64979,25.27356,2005-05-22,42.0889
-106.66218,25.37856,2005-05-22,43.2602
-106.6746,25.4836,2005-05-22,46.3622
-106.68706,25.58868,2005-05-22,49.8385
-106.69954,25.6938,2005-05-22,52.1306
-106.71206,25.79896,2005-05-22,53.6039
-106.72461,25.90417,2005-05-22,54.1198
-106.73719,26.00941,2005-05-22,54.611
-106.7498,26.11469,2005-05-22,55.635
-106.76245,26.22001,2005-05-22,56.0169
-106.77513,26.32538,2005-05-22,55.6781
-106.78784,26.43078,2005-05-22,55.0455
-106.80058,26.53621,2005-05-22,54.754
-106.81336,26.64169,2005-05-22,55.0735
-106.82617,26.74721,2005-05-22,54.759
-106.83902,26.85276,2005-05-22,54.6093
-106.8519,26.95835,2005-05-22,54.4676
-106.86481,27.06398,2005-05-22,54.4702
-106.87775,27.16964,2005-05-22,54.174
-106.89074,27.27534,2005-05-22,53.9011
-106.90375,27.38108,2005-05-22,53.9494
-106.9168,27.48685,2005-05-22,53.9229
-106.92988,27.59266,2005-05-22,54.4372
-106.943,27.6985,2005-05-22,55.4348
-106.95615,27.80438,2005-05-22,55.6635
-106.96934,27.91029,2005-05-22,55.5916
