id,lon,lat,rate,cmaq
166,-109.34246,42.69146,0.603224347641031,58.9577
167,-109.36245,42.79876,0.609856390989752,59.6059
168,-109.3825,42.90606,0.604012171364961,59.0347
169,-109.40261,43.01333,0.589734145303343,57.6392
170,-109.42279,43.12058,0.580934051992273,56.7791
171,-109.44303,43.22782,0.587202877909832,57.3918
172,-109.46334,43.33504,0.562590036997021,54.9862
173,-109.48372,43.44224,0.558050330681334,54.5425
174,-109.50416,43.54942,0.549947000949481,53.7505
175,-109.52467,43.65658,0.555248952296762,54.2687
176,-109.54524,43.76372,0.584875216907311,57.1643
177,-109.56589,43.87085,0.593261958550241,57.984
178,-109.58659,43.97794,0.562873448908097,55.0139
179,-109.60738,44.08503,0.55336431424549,54.0845
180,-109.62822,44.19208,0.548512547883312,53.6103
181,-109.64914,44.29912,0.533953156206005,52.1873
182,-109.67012,44.40613,0.527352830435779,51.5422
183,-109.69118,44.51312,0.529451306354975,51.7473
184,-109.7123,44.62009,0.525078373113316,51.3199
185,-109.73349,44.72703,0.517333145074158,50.5629
186,-109.75475,44.83395,0.510871967390237,49.9314
187,-109.77608,44.94085,0.518813639786531,50.7076
188,-109.79749,45.04772,0.539534426873588,52.7328
189,-109.81897,45.15456,0.539615255541368,52.7407
190,-109.84052,45.26138,0.532868619650984,52.0813
191,-109.86214,45.36817,0.514959442425433,50.3309
192,-109.88383,45.47494,0.510894476639492,49.9336
193,-109.90559,45.58168,0.505125969944013,49.3698
194,-109.92744,45.68839,0.502822864486134,49.1447
195,-109.94935,45.79507,0.502501596110402,49.1133
196,-109.97134,45.90173,0.49888579216187,48.7599
197,-109.99339,46.00835,0.496036325835707,48.4814
198,-110.01553,46.11495,0.496652260747143,48.5416
199,-110.03773,46.22152,0.492791924499885,48.1643
200,-110.06002,46.32806,0.491056666011852,47.9947
201,-110.08238,46.43457,0.493475387159087,48.2311
202,-110.10482,46.54104,0.487889000753037,47.6851
203,-110.12733,46.64749,0.496802663458075,48.5563
204,-110.14993,46.7539,0.486767630881053,47.5755
205,-110.17259,46.86028,0.480671716923681,46.9797
206,-110.19534,46.96663,0.479031611171136,46.8194
207,-110.21816,47.07295,0.477814065415971,46.7004
208,-110.24107,47.17923,0.472022026323544,46.1343
209,-110.26405,47.28548,0.472437424287071,46.1749
210,-110.28711,47.3917,0.474115386504273,46.3389
211,-110.31025,47.49788,0.475597927512032,46.4838
212,-110.33347,47.60402,0.472916257407589,46.2217
213,-110.35677,47.71013,0.469088661886521,45.8476
214,-110.38016,47.8162,0.464675825884818,45.4163
215,-110.40362,47.92224,0.461939928952624,45.1489
216,-110.42716,48.02824,0.461371058835085,45.0933
217,-110.45079,48.1342,0.45713727367973,44.6795
218,-110.4745,48.24013,0.454814728415676,44.4525
219,-110.4983,48.34602,0.454858723766493,44.4568
220,-110.52217,48.45187,0.451145720787087,44.0939
221,-110.54613,48.55768,0.450632100644992,44.0437
222,-110.57018,48.66345,0.450701674688145,44.0505
223,-110.59431,48.76918,0.447979078675965,43.7844
224,-110.61853,48.87487,0.447566750155519,43.7441
225,-110.64283,48.98052,0.447020389287234,43.6907
226,-110.66721,49.08613,0.442285261762106,43.2279
227,-110.69169,49.1917,0.440980748453001,43.1004
228,-110.71626,49.29722,0.441114780800838,43.1135
229,-110.74091,49.40271,0.437179754771961,42.7289
230,-110.76564,49.50814,0.4352623759945,42.5415
231,-110.79047,49.61354,0.435666519333399,42.581
