site,poc,date,lat,lon,ozone
511390004,1,"2005-05-22",38.663,-78.505,47.88
511530009,1,"2005-05-22",38.855,-77.636,45
511611004,1,"2005-05-22",37.286,-79.884,59.13
511630003,1,"2005-05-22",37.626,-79.513,57.38
511790001,1,"2005-05-22",38.483,-77.37,48.88
511970002,1,"2005-05-22",36.893,-81.255,57.13
515100009,1,"2005-05-22",38.811,-77.045,45.37
516500004,2,"2005-05-22",37.003,-76.399,56.87
518000004,1,"2005-05-22",36.903,-76.439,57.38
518000005,1,"2005-05-22",36.667,-76.731,54.62
540030003,1,"2005-05-22",39.448,-77.964,46.5
540110006,1,"2005-05-22",38.425,-82.425,53
540250003,1,"2005-05-22",37.908,-80.633,61.88
540291004,1,"2005-05-22",40.422,-80.581,49.88
540390010,1,"2005-05-22",38.346,-81.628,54.63
540610003,1,"2005-05-22",39.649,-79.921,46.88
540690010,1,"2005-05-22",40.115,-80.701,49.13
541071002,1,"2005-05-22",39.324,-81.552,55.38
550030010,1,"2005-05-22",46.615,-90.699,41.5
550090026,1,"2005-05-22",44.53,-87.909,50.75
550210015,1,"2005-05-22",43.314,-89.109,49.5
550250041,1,"2005-05-22",43.101,-89.357,50.13
550270007,1,"2005-05-22",43.435,-88.528,52
550290004,1,"2005-05-22",45.238,-86.994,61.5
550390006,1,"2005-05-22",43.688,-88.422,51.38
550550002,1,"2005-05-22",43.001,-88.812,50.88
550590019,1,"2005-05-22",42.505,-87.811,56.38
550610002,1,"2005-05-22",44.443,-87.506,50.38
550710007,1,"2005-05-22",44.139,-87.616,51.88
550730012,1,"2005-05-22",44.707,-89.77,46.75
550790010,1,"2005-05-22",43.017,-87.933,47.38
550790026,1,"2005-05-22",43.061,-87.912,50.63
550790041,1,"2005-05-22",43.075,-87.884,52.25
550790044,1,"2005-05-22",43.093,-88.006,52.5
550790085,1,"2005-05-22",43.181,-87.901,52.13
550850004,1,"2005-05-22",45.678,-89.632,49.63
550870009,1,"2005-05-22",44.307,-88.396,49.5
550890008,1,"2005-05-22",43.343,-87.921,50.25
550890009,1,"2005-05-22",43.498,-87.81,48.25
551010017,1,"2005-05-22",42.714,-87.799,52.13
551050024,1,"2005-05-22",42.529,-89.015,49.13
551091002,1,"2005-05-22",45.124,-92.662,47.88
551110007,1,"2005-05-22",43.436,-89.68,51.63
551170006,1,"2005-05-22",43.667,-87.716,53.38
551230008,1,"2005-05-22",43.702,-90.568,52
551250001,1,"2005-05-22",46.048,-89.654,50.5
551270005,1,"2005-05-22",42.58,-88.499,54.38
551310009,1,"2005-05-22",43.327,-88.22,49.63
551330017,1,"2005-05-22",43.004,-88.232,53.25
551330027,1,"2005-05-22",43.02,-88.215,52.13
